id,name,value
11,AAJ6,1.09
12,AAJ7,1.10
13,AAJ8,1.11
14,AAJ9,1.12
15,AAJ10,1.13
16,AAJ11,1.14
17,AAJ12,1.15
18,AAJ13,1.16
19,AAJ14,1.17
20,AAJ15,1.18
21,AAJ16,1.19
22,AAJ17,1.20
23,AAJ18,1.21
24,AAJ19,1.22
25,AAJ20,1.23
26,AAJ21,1.24
27,AAJ22,1.25
28,AAJ23,1.26
29,AAJ24,1.27
30,AAJ25,1.28
31,AAJ26,1.29
32,AAJ27,1.30
33,AAJ28,1.31
34,AAJ29,1.32
35,AAJ30,1.33
36,AAJ31,1.34
37,AAJ32,1.35
38,AAJ33,1.36
39,AAJ34,1.37
40,AAJ35,1.38
41,AAJ36,1.39
42,AAJ37,1.40
43,AAJ38,1.41
44,AAJ39,1.42
45,AAJ40,1.43
46,AAJ41,1.44
47,AAJ42,1.45
48,AAJ43,1.46
49,AAJ44,1.47
50,AAJ45,1.48
51,AAJ46,1.49
52,AAJ47,1.50
53,AAJ48,1.51
54,AAJ49,1.52
55,AAJ50,1.53
56,AAJ51,1.54
57,AAJ52,1.55
58,AAJ53,1.56
59,AAJ54,1.57
60,AAJ55,1.58
61,AAJ56,1.59
62,AAJ57,1.60
63,AAJ58,1.61
64,AAJ59,1.62
65,AAJ60,1.63
66,AAJ61,1.64
67,AAJ62,1.65
68,AAJ63,1.66
69,AAJ64,1.67
70,AAJ65,1.68
71,AAJ66,1.69
72,AAJ67,1.70
73,AAJ68,1.71
74,AAJ69,1.72
75,AAJ70,1.73
76,AAJ71,1.74
77,AAJ72,1.75
78,AAJ73,1.76
79,AAJ74,1.77
80,AAJ75,1.78
81,AAJ76,1.79
82,AAJ77,1.80
83,AAJ78,1.81
84,AAJ79,1.82
85,AAJ80,1.83
86,AAJ81,1.84
87,AAJ82,1.85
88,AAJ83,1.86
89,AAJ84,1.87
90,AAJ85,1.88
91,AAJ86,1.89
92,AAJ87,1.90
93,AAJ88,1.91
94,AAJ89,1.92
95,AAJ90,1.93
96,AAJ91,1.94
97,AAJ92,1.95
98,AAJ93,1.96
99,AAJ94,1.97
100,AAJ95,1.98
101,AAJ96,1.99
102,AAJ97,1.100
103,AAJ98,1.101
104,AAJ99,1.102
105,AAJ100,1.103
